id,name,type,tactics,description,severity,cvss_score,cvss_vector
T1190,Exploit Public-Facing Application,TTP,initial-access,Adversaries may exploit weaknesses in an Internet-facing computer system or program.,critical,,
T1021,Remote Services,TTP,lateral-movement,Adversaries may use remote services to connect to internal systems.,high,,
CVE-2020-0688,Microsoft Exchange Vulnerability,CVE,initial-access,Remote code execution vulnerability in Microsoft Exchange Server.,high,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2020-1472,ZeroLogon,CVE,privilege-escalation,Elevation of privilege vulnerability in Windows Netlogon Remote Protocol.,critical,10.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2021-21972,VMware vCenter Vulnerability,CVE,initial-access,Remote code execution vulnerability in VMware vCenter.,critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T1087,Account Discovery: Local Account,TTP,discovery,Adversaries may attempt to get a listing of local system accounts.,medium,,
CVE-2021-26855,ProxyLogon,CVE,initial-access,Microsoft Exchange Server Remote Code Execution Vulnerability.,critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T1078,Account Discovery,TTP,discovery,Adversaries may attempt to get a listing of accounts on a system or within an environment.,medium,,
T1486,Data Encrypted for Impact,TTP,impact,Adversaries may encrypt data on target systems to interrupt availability to system and network resources.,critical,,
T1003,OS Credential Dumping,TTP,credential-access,Adversaries may attempt to dump credentials to access user accounts.,high,,
CVE-2021-44228,Log4Shell,CVE,initial-access,Apache Log4j2 RCE vulnerability allowing remote code execution.,critical,10.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T1053,Scheduled Task/Job,TTP,"persistence, privilege-escalation",Adversaries may abuse task scheduling functionality to facilitate execution.,high,,
CVE-2017-0144,EternalBlue,CVE,initial-access,Windows SMB Remote Code Execution Vulnerability.,critical,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2020-1350,SIGRed,CVE,initial-access,Windows DNS Server Remote Code Execution Vulnerability.,critical,10.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T1048,Exfiltration Over Alternative Protocol,TTP,exfiltration,Adversaries may exfiltrate data over a different protocol than that of the command and control channel.,medium,,
