source,target,type,impact_score,mitigation
T4012,IT-08252,TARGETS,0.67,Isoler IT-08252 et appliquer les correctifs pour T4012.
CVE-2024-9163,IT-01788,TARGETS,0.5,Isoler IT-01788 et appliquer les correctifs pour CVE-2024-9163.
CVE-2021-3526,IT-05043,TARGETS,0.99,Isoler IT-05043 et appliquer les correctifs pour CVE-2021-3526.
CVE-2021-8045,IT-00559,TARGETS,0.5,Isoler IT-00559 et appliquer les correctifs pour CVE-2021-8045.
CVE-2023-4253,IT-05408,TARGETS,0.88,Isoler IT-05408 et appliquer les correctifs pour CVE-2023-4253.
CVE-2020-9680,IT-05479,TARGETS,0.51,Isoler IT-05479 et appliquer les correctifs pour CVE-2020-9680.
T4142,IT-00587,TARGETS,0.88,Isoler IT-00587 et appliquer les correctifs pour T4142.
CVE-2023-8418,IT-09315,TARGETS,0.69,Isoler IT-09315 et appliquer les correctifs pour CVE-2023-8418.
T3776,IT-02518,TARGETS,0.96,Isoler IT-02518 et appliquer les correctifs pour T3776.
T7559,IT-09202,TARGETS,0.81,Isoler IT-09202 et appliquer les correctifs pour T7559.
CVE-2021-1479,IT-03412,TARGETS,0.61,Isoler IT-03412 et appliquer les correctifs pour CVE-2021-1479.
T5619,IT-09121,TARGETS,0.93,Isoler IT-09121 et appliquer les correctifs pour T5619.
T7102,IT-01904,TARGETS,0.82,Isoler IT-01904 et appliquer les correctifs pour T7102.
CVE-2021-3993,IT-02456,TARGETS,0.77,Isoler IT-02456 et appliquer les correctifs pour CVE-2021-3993.
T4089,IT-09747,TARGETS,0.9,Isoler IT-09747 et appliquer les correctifs pour T4089.
CVE-2024-2871,IT-02395,TARGETS,0.55,Isoler IT-02395 et appliquer les correctifs pour CVE-2024-2871.
T1277,IT-02780,TARGETS,0.96,Isoler IT-02780 et appliquer les correctifs pour T1277.
CVE-2022-2010,IT-03208,TARGETS,0.78,Isoler IT-03208 et appliquer les correctifs pour CVE-2022-2010.
T6344,IT-08709,TARGETS,0.88,Isoler IT-08709 et appliquer les correctifs pour T6344.
CVE-2023-9030,IT-03030,TARGETS,0.87,Isoler IT-03030 et appliquer les correctifs pour CVE-2023-9030.
T7641,IT-03225,TARGETS,0.82,Isoler IT-03225 et appliquer les correctifs pour T7641.
CVE-2025-9595,IT-07971,TARGETS,0.72,Isoler IT-07971 et appliquer les correctifs pour CVE-2025-9595.
T1915,IT-03370,TARGETS,0.93,Isoler IT-03370 et appliquer les correctifs pour T1915.
CVE-2023-6453,IT-01528,TARGETS,0.73,Isoler IT-01528 et appliquer les correctifs pour CVE-2023-6453.
T8712,IT-09522,TARGETS,0.94,Isoler IT-09522 et appliquer les correctifs pour T8712.
T7910,IT-00607,TARGETS,0.95,Isoler IT-00607 et appliquer les correctifs pour T7910.
T8999,IT-02816,TARGETS,0.92,Isoler IT-02816 et appliquer les correctifs pour T8999.
CVE-2022-3040,IT-08055,TARGETS,0.96,Isoler IT-08055 et appliquer les correctifs pour CVE-2022-3040.
T6344,IT-09766,TARGETS,0.72,Isoler IT-09766 et appliquer les correctifs pour T6344.
T9528,IT-01473,TARGETS,0.81,Isoler IT-01473 et appliquer les correctifs pour T9528.
T8746,IT-02334,TARGETS,0.58,Isoler IT-02334 et appliquer les correctifs pour T8746.
CVE-2025-3421,IT-02333,TARGETS,0.88,Isoler IT-02333 et appliquer les correctifs pour CVE-2025-3421.
T1686,IT-01068,TARGETS,0.53,Isoler IT-01068 et appliquer les correctifs pour T1686.
CVE-2022-7016,IT-09095,TARGETS,0.6,Isoler IT-09095 et appliquer les correctifs pour CVE-2022-7016.
CVE-2023-4208,IT-04313,TARGETS,0.94,Isoler IT-04313 et appliquer les correctifs pour CVE-2023-4208.
CVE-2020-4304,IT-08902,TARGETS,0.6,Isoler IT-08902 et appliquer les correctifs pour CVE-2020-4304.
T1078,IT-03297,TARGETS,0.57,Isoler IT-03297 et appliquer les correctifs pour T1078.
T7559,IT-02032,TARGETS,0.51,Isoler IT-02032 et appliquer les correctifs pour T7559.
CVE-2024-2304,IT-00170,TARGETS,0.6,Isoler IT-00170 et appliquer les correctifs pour CVE-2024-2304.
CVE-2025-8109,IT-04442,TARGETS,0.64,Isoler IT-04442 et appliquer les correctifs pour CVE-2025-8109.
T2893,IT-05452,TARGETS,0.56,Isoler IT-05452 et appliquer les correctifs pour T2893.
CVE-2024-9337,IT-09423,TARGETS,0.8,Isoler IT-09423 et appliquer les correctifs pour CVE-2024-9337.
CVE-2022-2599,IT-09174,TARGETS,0.95,Isoler IT-09174 et appliquer les correctifs pour CVE-2022-2599.
T8537,IT-06947,TARGETS,0.86,Isoler IT-06947 et appliquer les correctifs pour T8537.
CVE-2024-5205,IT-06514,TARGETS,0.57,Isoler IT-06514 et appliquer les correctifs pour CVE-2024-5205.
T3515,IT-00309,TARGETS,0.61,Isoler IT-00309 et appliquer les correctifs pour T3515.
CVE-2020-2879,IT-07964,TARGETS,0.82,Isoler IT-07964 et appliquer les correctifs pour CVE-2020-2879.
CVE-2020-8132,IT-06696,TARGETS,0.94,Isoler IT-06696 et appliquer les correctifs pour CVE-2020-8132.
T9331,IT-08196,TARGETS,0.66,Isoler IT-08196 et appliquer les correctifs pour T9331.
T6420,IT-04558,TARGETS,0.93,Isoler IT-04558 et appliquer les correctifs pour T6420.
CVE-2021-1514,IT-02089,TARGETS,0.73,Isoler IT-02089 et appliquer les correctifs pour CVE-2021-1514.
CVE-2021-2629,IT-04663,TARGETS,0.63,Isoler IT-04663 et appliquer les correctifs pour CVE-2021-2629.
T8484,IT-04060,TARGETS,0.82,Isoler IT-04060 et appliquer les correctifs pour T8484.
CVE-2021-2629,IT-05316,TARGETS,0.7,Isoler IT-05316 et appliquer les correctifs pour CVE-2021-2629.
CVE-2025-3374,IT-01812,TARGETS,0.97,Isoler IT-01812 et appliquer les correctifs pour CVE-2025-3374.
T7520,IT-09025,TARGETS,0.85,Isoler IT-09025 et appliquer les correctifs pour T7520.
CVE-2021-8045,IT-08512,TARGETS,0.55,Isoler IT-08512 et appliquer les correctifs pour CVE-2021-8045.
T9103,IT-07485,TARGETS,0.83,Isoler IT-07485 et appliquer les correctifs pour T9103.
CVE-2021-1332,IT-01939,TARGETS,0.82,Isoler IT-01939 et appliquer les correctifs pour CVE-2021-1332.
T3851,IT-07106,TARGETS,0.84,Isoler IT-07106 et appliquer les correctifs pour T3851.
T1059,IT-07355,TARGETS,0.96,Isoler IT-07355 et appliquer les correctifs pour T1059.
CVE-2020-9971,IT-02506,TARGETS,0.92,Isoler IT-02506 et appliquer les correctifs pour CVE-2020-9971.
T9207,IT-07334,TARGETS,0.78,Isoler IT-07334 et appliquer les correctifs pour T9207.
T6291,IT-01319,TARGETS,0.57,Isoler IT-01319 et appliquer les correctifs pour T6291.
T5351,IT-05207,TARGETS,0.53,Isoler IT-05207 et appliquer les correctifs pour T5351.
CVE-2022-4059,IT-02014,TARGETS,0.92,Isoler IT-02014 et appliquer les correctifs pour CVE-2022-4059.
CVE-2022-4145,IT-00076,TARGETS,0.64,Isoler IT-00076 et appliquer les correctifs pour CVE-2022-4145.
T3137,IT-07770,TARGETS,0.93,Isoler IT-07770 et appliquer les correctifs pour T3137.
CVE-2025-1020,IT-01763,TARGETS,0.67,Isoler IT-01763 et appliquer les correctifs pour CVE-2025-1020.
CVE-2024-9225,IT-05920,TARGETS,0.63,Isoler IT-05920 et appliquer les correctifs pour CVE-2024-9225.
CVE-2020-1855,IT-04132,TARGETS,0.5,Isoler IT-04132 et appliquer les correctifs pour CVE-2020-1855.
CVE-2021-2629,IT-09658,TARGETS,0.8,Isoler IT-09658 et appliquer les correctifs pour CVE-2021-2629.
T3619,IT-00816,TARGETS,0.54,Isoler IT-00816 et appliquer les correctifs pour T3619.
T7599,IT-02093,TARGETS,0.66,Isoler IT-02093 et appliquer les correctifs pour T7599.
CVE-2025-1625,IT-09462,TARGETS,0.62,Isoler IT-09462 et appliquer les correctifs pour CVE-2025-1625.
CVE-2020-6340,IT-03430,TARGETS,0.8,Isoler IT-03430 et appliquer les correctifs pour CVE-2020-6340.
CVE-2020-5818,IT-09263,TARGETS,0.76,Isoler IT-09263 et appliquer les correctifs pour CVE-2020-5818.
CVE-2023-5610,IT-06998,TARGETS,0.93,Isoler IT-06998 et appliquer les correctifs pour CVE-2023-5610.
T4139,IT-04400,TARGETS,0.69,Isoler IT-04400 et appliquer les correctifs pour T4139.
CVE-2024-9163,IT-08948,TARGETS,0.69,Isoler IT-08948 et appliquer les correctifs pour CVE-2024-9163.
