mmsi,timestamp,latitude,longitude,speed,course,status,ais_active,navigational_status
244710005,2026-05-10T00:00:00Z,41.697,-7.1644,2.8,349.4,Moored,True,12
244710003,2026-05-10T01:00:00Z,42.2088,-8.6976,24.4,17.6,Moored,False,2
244710004,2026-05-10T02:00:00Z,41.9945,-9.1513,5.1,223.1,Moored,True,15
244710009,2026-05-10T03:00:00Z,42.3339,-9.7118,5.4,68.8,Under Way,True,3
244710002,2026-05-10T04:00:00Z,40.3262,-6.232,12.4,243.2,Under Way,True,6
244710005,2026-05-10T05:00:00Z,40.3162,-9.5101,21.7,232.1,Under Way,True,1
244710003,2026-05-10T06:00:00Z,43.9788,-6.0946,21.9,170.7,Under Way,True,9
244710000,2026-05-10T07:00:00Z,43.7282,-9.0086,21.2,87.9,At Anchor,True,4
244710001,2026-05-10T08:00:00Z,44.3969,-7.8697,12.0,249.0,Moored,True,4
244710007,2026-05-10T09:00:00Z,41.3346,-9.6139,4.4,117.9,At Anchor,True,9
244710009,2026-05-10T10:00:00Z,42.117,-5.856,7.2,215.9,Under Way,False,3
244710006,2026-05-10T11:00:00Z,42.3403,-9.4079,7.0,211.1,Under Way,True,2
244710005,2026-05-10T12:00:00Z,41.5787,-9.539,12.6,23.8,Under Way,True,9
244710006,2026-05-10T13:00:00Z,42.2405,-9.2429,5.1,162.1,Under Way,True,12
244710006,2026-05-10T14:00:00Z,43.4993,-8.4372,21.7,229.5,At Anchor,True,10
244710001,2026-05-10T15:00:00Z,42.5932,-9.999,9.5,235.7,Moored,True,2
244710003,2026-05-10T16:00:00Z,42.2029,-6.1831,22.7,287.7,Moored,False,9
244710001,2026-05-10T17:00:00Z,40.4655,-5.0449,1.4,55.8,At Anchor,False,1
244710005,2026-05-10T18:00:00Z,41.3416,-10.0575,8.2,20.6,Moored,False,15
244710004,2026-05-10T19:00:00Z,41.3194,-6.9039,18.2,113.0,At Anchor,True,14
244710002,2026-05-10T20:00:00Z,40.1199,-8.388,2.4,341.8,Moored,True,6
244710009,2026-05-10T21:00:00Z,44.7866,-9.7045,1.1,33.4,Under Way,True,12
244710002,2026-05-10T22:00:00Z,40.5089,-7.5503,8.8,67.7,At Anchor,True,2
244710002,2026-05-10T23:00:00Z,41.2525,-5.8938,11.1,296.6,At Anchor,True,14
244710009,2026-05-11T00:00:00Z,40.6965,-6.4345,16.3,324.2,Under Way,False,12
244710006,2026-05-11T01:00:00Z,42.5088,-8.5029,2.2,92.3,At Anchor,True,14
244710007,2026-05-11T02:00:00Z,41.9653,-6.4101,21.6,0.1,Moored,False,1
244710002,2026-05-11T03:00:00Z,41.3424,-9.4739,21.3,247.1,Under Way,True,8
244710006,2026-05-11T04:00:00Z,42.0786,-6.6091,12.0,286.6,At Anchor,True,14
244710003,2026-05-11T05:00:00Z,41.7817,-8.6574,2.2,25.8,Under Way,True,11
244710003,2026-05-11T06:00:00Z,43.3379,-6.7051,20.4,329.7,At Anchor,False,7
244710001,2026-05-11T07:00:00Z,42.3724,-8.8456,21.6,218.1,Moored,True,15
244710002,2026-05-11T08:00:00Z,40.6247,-9.2376,14.8,244.7,Moored,True,3
244710000,2026-05-11T09:00:00Z,40.6539,-9.7516,2.5,340.1,Moored,True,8
244710002,2026-05-11T10:00:00Z,44.2572,-7.5916,17.0,72.3,Under Way,True,11
244710009,2026-05-11T11:00:00Z,42.944,-9.1692,4.5,60.2,At Anchor,False,14
FAKE-9876733,2026-05-11T12:00:00Z,40.5215,-6.5562,22.9,63.4,Under Way,True,1
244710002,2026-05-11T13:00:00Z,41.7412,-5.0156,0.5,269.1,At Anchor,True,8
244710007,2026-05-11T14:00:00Z,42.4458,-6.7282,7.7,55.8,At Anchor,True,14
244710000,2026-05-11T15:00:00Z,44.275,-8.3211,15.8,83.4,At Anchor,True,15
244710004,2026-05-11T16:00:00Z,43.5415,-8.74,6.7,237.3,Under Way,True,10
244710008,2026-05-11T17:00:00Z,41.7403,-9.8223,22.0,59.7,Under Way,True,15
244710009,2026-05-11T18:00:00Z,40.068,-7.3991,20.3,238.9,At Anchor,True,3
244710008,2026-05-11T19:00:00Z,40.3472,-8.5119,5.9,260.4,At Anchor,True,3
244710000,2026-05-11T20:00:00Z,42.4701,-8.4095,4.6,185.7,Moored,True,14
244710005,2026-05-11T21:00:00Z,43.0409,-7.4903,1.3,115.9,Under Way,True,12
244710002,2026-05-11T22:00:00Z,40.3945,-7.0751,10.7,79.2,At Anchor,True,5
244710002,2026-05-11T23:00:00Z,41.8542,-6.3489,13.3,152.3,Under Way,True,9
244710003,2026-05-12T00:00:00Z,40.7117,-6.5499,12.7,337.4,Moored,False,6
244710008,2026-05-12T01:00:00Z,43.5351,-6.0617,17.3,325.9,Moored,True,8
